"CODE","SPANISH","ENGLISH"
"J07AJ","Vacunas antipertussis","Pertussis vaccines"
"J07AJ01","pertussis, célula entera inactivada","pertussis, inactivated, whole cell"
"J07AJ02","pertussis, antígeno purificado de","pertussis, purified antigen"
"J07AJ51","pertussis, células enteras inactivada, combinaciones con toxoides","pertussis, inactivated, whole cell, combinations with toxoids"
"J07AJ52","pertussis, antígeno purificado, combinación con toxoides","pertussis, purified antigen, combinations with toxoids"
"J07AK","Vacunas contra la peste","Plague vaccines"
"J07AK01","peste, célula entera inactivada","plague, inactivated, whole cell"
"J07AL","Vacunas antineumococo","Pneumococcal vaccines"
"J07AL01","neumococo, antígeno de polisacárido purificado","pneumococcus, purified polysaccharides antigen"
"J07AL02","neumococo, antígenos conjugado de polisacáridos purificados","pneumococcus, purified polysaccharides antigen conjugated"
"J07AL52","antígeno de neumococo polisacárido purificado y haemophilus influenzae, conjugados","pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated"
"J07AM","Vacunas antitetánicas","Tetanus vaccines"
"J07AM01","tetánico, toxoide","tetanus toxoid"
"J07AM51","tetánico, toxoide, combinaciones con toxoide diftérico","tetanus toxoid, combinations with diphtheria toxoid"
"J07AM52","tetánico, toxoide, combinaciones con inmunoglobulina antitetánica","tetanus toxoid, combinations with tetanus immunoglobulin"
"J07AN","Vacuna antituberculosa","Tuberculosis vaccines"
"J07AN01","tuberculosis, micobacteria viva atenuada","tuberculosis, live attenuated"
"J07AP","Vacunas antitifoideas","Typhoid vaccines"
"J07AP01","tifoidea, viva atenuada, oral","typhoid, oral, live attenuated"
"J07AP02","tifoidea, célula entera inactivada","typhoid, inactivated, whole cell"
"J07AP03","tifoidea, antígeno polisacárido purificado","typhoid, purified polysaccharide antigen"
"J07AP10","tifoidea, combinaciones con tipos de paratyphi","typhoid, combinations with paratyphi types"
"J07AR","Vacunas contra el tifus (exantemático)","Typhus (exanthematicus) vaccines"
"J07AR01","tifus exantemático, inactivado, células enteras","typhus exanthematicus, inactivated, whole cell"
"J07AX","Otras vacunas antibacterianas","Other bacterial vaccines"
"J07B","VACUNAS ANTIVIRALES","VIRAL VACCINES"
"J07BA","Vacunas contra la encefalitis","Encephalitis vaccines"
"J07BA01","encefalitis transmitida por garrapatas, virus entero inactivado","encephalitis, tick borne, inactivated, whole virus"
"J07BA02","encefalitis japonesa, virus entero inactivado","encephalitis, Japanese, inactivated, whole virus"
"J07BA03","encephalitis japonesa, viva atenuoado","encephalitis, Japanese, live attenuated"
"J07BB","Vacunas contra la gripe","Influenza vaccines"
"J07BB01","influenza, virus entero inactivado","influenza, inactivated, whole virus"
"J07BB02","virus de la influeza inactivado y separado, o antígeno superficial","influenza, inactivated, split virus or surface antigen"
"J07BB03","influenza, vibrión vivo atenuado","influenza, live attenuated"
"J07BC","Vacunas contra la hepatitis","Hepatitis vaccines"
"J07BC01","hepatitis B, antígeno purificado de","hepatitis B, purified antigen"
"J07BC02","hepatitis A, virus entero inactivado","hepatitis A, inactivated, whole virus"
"J07BC20","combinaciones","combinations"
"J07BD","Vacunas contra el sarampión","Measles vaccines"
"J07BD01","sarampión, virus vivo atenuado","measles, live attenuated"
"J07BD51","sarampión, virus vivo atenuado combinado con la vacuna contra la parotiditis","measles, combinations with mumps, live attenuated"
"J07BD52","sarampión, virus vivo atenuado combinado con la vacuna contra la parotiditis y la rubéola","measles, combinations with mumps and rubella, live attenuated"
"J07BD53","sarampión, virus vivo atenuado combinado con la vacuna contra la rubéola","measles, combinations with rubella, live attenuated"
"J07BD54","sarampión, combinaciones con la parotiditis, la varicela y la rubéola, vivos atenuados","measles, combinations with mumps, rubella and varicella, live attenuated"
"J07BE","Vacunas contra la parotiditis","Mumps vaccines"
"J07BE01","parotiditis, virus vivo atenuado","mumps, live attenuated"
"J07BF","Vacunas contra la poliomielitis","Poliomyelitis vaccines"
"J07BF01","poliomielitis, vacuna oral, virus vivo atenuado, monovalente","poliomyelitis oral, monovalent, live attenuated"
"J07BF02","poliomielitis, vacuna oral, virus vivo atenuado, trivalente","poliomyelitis oral, trivalent, live attenuated"
"J07BF03","poliomielitis, inactivado, virus entero, trivalente","poliomyelitis, trivalent, inactivated, whole virus"
"J07BF04","poliomielitis, vacuna oral, virus vivo atenuado, bivalente","poliomyelitis oral, bivalent, live attenuated"
"J07BG","Vacunas contra la rabia","Rabies vaccines"
"J07BG01","rabia, virus entero inactivado","rabies, inactivated, whole virus"
"J07BH","Vacunas contra la diarrea por rotavirus","Rota virus diarrhea vaccines"
"J07BH01","rotavirus, virus vivo atenuado","rota virus, live attenuated"
"J07BH02","rotavirus, pentavalente, vivo, reasortantes","rota virus, pentavalent, live, reassorted"
"J07BJ","Vacunas contra la rubéola","Rubella vaccines"
"J07BJ01","rubéola, virus vivo atenuado","rubella, live attenuated"
"J07BJ51","rubéola, virus vivos atenuados combinaciones con la vacuna contra la parotiditis","rubella, combinations with mumps, live attenuated"
"J07BK","Vacunas anti varicela zóster","Varicella zoster vaccines"
"J07BK01","varicela, virus vivo atenuado","varicella, live attenuated"
"J07BK02","zóster, virus vivo atenuado","zoster, live attenuated"
"J07BL","Vacunas contra la fiebre amarilla","Yellow fever vaccines"
"J07BL01","fiebre amarilla, virus vivo atenuado","yellow fever, live attenuated"
"J07BM","Vacuna contra papilomavirus","Papillomavirus vaccines"
"J07BM01","papilomavirus (tipos humanos 6, 11, 16, 18)","papillomavirus (human types 6, 11, 16, 18)"
"J07BM02","papilomavirus (tipos humanos 16,18)","papillomavirus (human types 16, 18)"
"J07BX","Otras vacunas antivirales","Other viral vaccines"
"J07C","VACUNAS ANTIBACTERIANAS Y ANTIVIRALES COMBINADAS","BACTERIAL AND VIRAL VACCINES, COMBINED"
"J07CA","Vacunas antibacterianas y antivirales combinadas","Bacterial and viral vaccines, combined"
"J07CA01","difteria-poliomielitis-tétanos","diphtheria-poliomyelitis-tetanus"
"J07CA02","difteria-pertussis-poliomielitis-tétanos","diphtheria-pertussis-poliomyelitis-tetanus"
"J07CA03","difteria-rubéola-tétanos","diphtheria-rubella-tetanus"
"J07CA04","haemophilus influenzae B y poliomielitis","hemophilus influenzae B and poliomyelitis"
"J07CA05","difteria-hepatitis B-pertussis-tétanos","diphtheria-hepatitis B-pertussis-tetanus"
"J07CA06","difteria-haemophilus influenzae B- pertussis-poliomielitis- tétanos","diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus"
"J07CA07","difteria-hepatitis B-tétanos","diphtheria-hepatitis B-tetanus"
"J07CA08","haemophilus influenzae B y hepatitis B","hemophilus influenzae B and hepatitis B"
"J07CA09","difteria-haemophilus influenzae B- pertussis-poliomielitis- tétanos-hepatitis B","diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B"
"J07CA10","tifoidea-hepatitis A","typhoid-hepatitis A"
"J07CA11","difteria-haemophilus influenzae B-pertussis-tétanos-hepatitis B","diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B"
"J07CA12","difteria-pertussis-poliomielitis-tétanos-hepatitis B","diphtheria-pertussis-poliomyelitis-tetanus-hepatitis B"
"J07CA13","difteria-haemophilus influenzae B-pertussis-tétanos-hepatitis B- meningococo A + C","diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B-meningococcus A + C"
"J07X","OTRAS VACUNAS","OTHER VACCINES"
"L","AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES","ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
"L01","AGENTES ANTINEOPLÁSICOS","ANTINEOPLASTIC AGENTS"
"L01A","AGENTES ALQUILANTES","ALKYLATING AGENTS"
"L01AA","Análogos de la mostaza nitrogenada","Nitrogen mustard analogues"
"L01AA01","ciclofosfamida","cyclophosphamide"
"L01AA02","clorambucilo","chlorambucil"
"L01AA03","melfalán","melphalan"
"L01AA05","clormetina","chlormethine"
"L01AA06","ifosfamida","ifosfamide"
"L01AA07","trofosfamida","trofosfamide"
"L01AA08","prednimustina","prednimustine"
"L01AA09","bendamustina","bendamustine"
"L01AB","Alquilsulfonatos","Alkyl sulfonates"
"L01AB01","busulfano","busulfan"
"L01AB02","treosulfano","treosulfan"
"L01AB03","manosulfano","mannosulfan"
"L01AC","Etileniminas","Ethylene imines"
"L01AC01","tiotepa","thiotepa"
"L01AC02","triazicuona","triaziquone"
"L01AC03","carbocuona","carboquone"
"L01AD","Nitrosoureas","Nitrosoureas"
"L01AD01","carmustina","carmustine"
"L01AD02","lomustina","lomustine"
"L01AD03","semustina","semustine"
"L01AD04","estreptozocina","streptozocin"
"L01AD05","fotemustina","fotemustine"
"L01AD06","nimustina","nimustine"
"L01AD07","ranimustina","ranimustine"
"L01AG","Epóxidos","Epoxides"
"L01AG01","etoglúcido","etoglucid"
"L01AX","Otros agentes alquilantes","Other alkylating agents"
"L01AX01","mitobronitol","mitobronitol"
"L01AX02","pipobromán","pipobroman"
"L01AX03","temozolomida","temozolomide"
"L01AX04","dacarbazina","dacarbazine"
"L01B","ANTIMETABOLITOS","ANTIMETABOLITES"
"L01BA","Análogos del ácido fólico","Folic acid analogues"
"L01BA01","metotrexato","methotrexate"
"L01BA03","raltitrexed","raltitrexed"
"L01BA04","pemetrexed","pemetrexed"
"L01BA05","pralatrexato","pralatrexate"
"L01BB","Análogos de las purinas","Purine analogues"
"L01BB02","mercaptopurina","mercaptopurine"
"L01BB03","tioguanina","tioguanine"
"L01BB04","cladribina","cladribine"
"L01BB05","fludarabina","fludarabine"
"L01BB06","clofarabina","clofarabine"
"L01BB07","nelarabina","nelarabine"
"L01BC","Análogos de las pirimidinas","Pyrimidine analogues"
"L01BC01","citarabina","cytarabine"
"L01BC02","fluorouracilo","fluorouracil"
"L01BC03","tegafur","tegafur"
"L01BC04","carmofur","carmofur"
"L01BC05","gemcitabina","gemcitabine"
"L01BC06","capecitabina","capecitabine"
"L01BC07","azacitidina","azacitidine"
"L01BC08","decitabina","decitabine"
"L01BC52","fluorouracilo, combinaciones","fluorouracil, combinations"
"L01BC53","tegafur, combinaciones","tegafur, combinations"
"L01C","ALCALOIDES DE PLANTAS Y OTROS PRODUCTOS NATURALES","PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS"
"L01CA","Alcaloides de la Vinca y análogos","Vinca alkaloids and analogues"
"L01CA01","vinblastina","vinblastine"
"L01CA02","vincristina","vincristine"
"L01CA03","vindesina","vindesine"
"L01CA04","vinorelbina","vinorelbine"
"L01CA05","vinflunina","vinflunine"
"L01CA06","vintafolida","vintafolide"
"L01CB","Derivados de la podofilotoxina","Podophyllotoxin derivatives"
"L01CB01","etopósido","etoposide"
"L01CB02","tenipósido","teniposide"
"L01CC","Derivados de la colchicina","Colchicine derivatives"
"L01CC01","demecolcina","demecolcine"
"L01CD","Taxanos","Taxanes"
"L01CD01","paclitaxel","paclitaxel"
"L01CD02","docetaxel","docetaxel"
"L01CD03","paclitaxel poliglumex","paclitaxel poliglumex"
"L01CD04","cabazitaxel","cabazitaxel"
"L01CX","Otros alcaloides de plantas y productos naturales","Other plant alkaloids and natural products"
"L01CX01","trabectedina","trabectedin"
"L01D","ANTIBIÓTICOS CITOTÓXICOS Y SUSTANCIAS RELACIONADAS","CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES"
"L01DA","Actinomicinas","Actinomycines"
"L01DA01","dactinomicina","dactinomycin"
"L01DB","Antraciclinas y sustancias relacionadas","Anthracyclines and related substances"
"L01DB01","doxorubicina","doxorubicin"
"L01DB02","daunorubicina","daunorubicin"
"L01DB03","epirubicina","epirubicin"
"L01DB04","aclarubicina","aclarubicin"
"L01DB05","zorubicina","zorubicin"
"L01DB06","idarubicina","idarubicin"
"L01DB07","mitoxantrona","mitoxantrone"
"L01DB08","pirarubicina","pirarubicin"
"L01DB09","valrubicina","valrubicin"
"L01DB10","amrubicina","amrubicin"
"L01DB11","pixantrona","pixantrone"
"L01DC","Otros antibióticos citotóxicos","Other cytotoxic antibiotics"
"L01DC01","bleomicina","bleomycin"
"L01DC02","plicamicina","plicamycin"
"L01DC03","mitomicina","mitomycin"
"L01DC04","ixabepilona","ixabepilone"
"L01X","OTROS AGENTES ANTINEOPLÁSICOS","OTHER ANTINEOPLASTIC AGENTS"
"L01XA","Compuestos del platino","Platinum compounds"
"L01XA01","cisplatino","cisplatin"
"L01XA02","carboplatino","carboplatin"
"L01XA03","oxaliplatino","oxaliplatin"
"L01XA04","satraplatino","satraplatin"
"L01XA05","polyplatillena","polyplatillen"
"L01XB","Metilhidrazinas","Methylhydrazines"
"L01XB01","procarbazina","procarbazine"
"L01XC","Anticuerpos monoclonales","Monoclonal antibodies"
"L01XC01","edrecolomab","edrecolomab"
"L01XC02","rituximab","rituximab"
"L01XC03","trastuzumab","trastuzumab"
"L01XC04","alemtuzumab","alemtuzumab"
"L01XC05","gemtuzumab","gemtuzumab"
"L01XC06","cetuximab","cetuximab"
"L01XC07","bevacizumab","bevacizumab"
"L01XC08","panitumumab","panitumumab"
"L01XC09","catumaxomab","catumaxomab"
"L01XC10","ofatumumab","ofatumumab"
"L01XC11","ipilimumab","ipilimumab"
"L01XC12","brentuximab vedotina","brentuximab vedotin"
"L01XC13","pertuzumab","pertuzumab"
"L01XC14","trastuzumab emtansina","trastuzumab emtansine"
"L01XC15","obinutuzumab","obinutuzumab"
"L01XD","Sensibilizadores usados en terapia fotodinámica y radiación","Sensitizers used in photodynamic/radiation therapy"
"L01XD01","porfímero de sodio","porfimer sodium"
"L01XD03","metilaminolevulinato","methyl aminolevulinate"
"L01XD04","ácido aminolevulínico","aminolevulinic acid"
"L01XD05","temoporfina","temoporfin"
"L01XD06","efaproxiral","efaproxiral"
"L01XE","Inhibidores directos de la proteinquinasa","Protein kinase inhibitors"
"L01XE01","imatinib","imatinib"
"L01XE02","gefitinib","gefitinib"
"L01XE03","erlotinib","erlotinib"
"L01XE04","sunitinib","sunitinib"
"L01XE05","sorafenib","sorafenib"
"L01XE06","dasatinib","dasatinib"
"L01XE07","lapatinib","lapatinib"
"L01XE08","nilotinib","nilotinib"
"L01XE09","temsirolimus","temsirolimus"
"L01XE10","everolimus","everolimus"
"L01XE11","pazopanib","pazopanib"
"L01XE12","vandetanib","vandetanib"
"L01XE13","afatinib","afatinib"
"L01XE14","bosutinib","bosutinib"
"L01XE15","vemurafenib","vemurafenib"
"L01XE16","crizotinib","crizotinib"
"L01XE17","axitinib","axitinib"
"L01XE18","ruxolitinib","ruxolitinib"
"L01XE19","ridaforolimus","ridaforolimus"
"L01XE21","regorafenib","regorafenib"
"L01XE22","masitinib","masitinib"
"L01XE23","dabrafenib","dabrafenib"
"L01XE24","ponatinib","ponatinib"
"L01XE25","trametinib","trametinib"
"L01XX","Otros agentes antineoplásicos","Other antineoplastic agents"
"L01XX01","amsacrina","amsacrine"
"L01XX02","asparaginasa","asparaginase"
"L01XX03","altretamina","altretamine"
"L01XX05","hidroxicarbamida","hydroxycarbamide"
"L01XX07","lonidamina","lonidamine"
"L01XX08","pentostatina","pentostatin"
"L01XX09","miltefosina","miltefosine"
"L01XX10","masoprocol","masoprocol"
"L01XX11","estramustina","estramustine"
"L01XX14","tretinoína","tretinoin"
"L01XX16","mitoguazona","mitoguazone"
"L01XX17","topotecán","topotecan"
"L01XX18","tiazofurina","tiazofurine"
"L01XX19","irinotecán","irinotecan"
"L01XX22","alitretinoina","alitretinoin"
"L01XX23","mitotano","mitotane"
"L01XX24","pegaspargasa","pegaspargase"
"L01XX25","bexaroteno","bexarotene"
"L01XX27","arsénico trióxido","arsenic trioxide"
"L01XX29","denileukina diftitox","denileukin diftitox"
"L01XX32","bortezomib","bortezomib"
"L01XX33","celecoxib","celecoxib"
"L01XX35","anagrelida","anagrelide"
"L01XX36","oblimersen","oblimersen"
"L01XX37","sitimagén ceradenovec","sitimagene ceradenovec"
"L01XX38","vorinostat","vorinostat"
"L01XX39","romidepsina","romidepsin"
"L01XX40","mepesuccinato de omacetaxina","omacetaxine mepesuccinate"
"L01XX41","eribulina","eribulin"
"L01XX42","panobinostat","panobinostat"
"L01XX43","vismodegib","vismodegib"
"L01XX44","aflibercept","aflibercept"
"L01XX45","carfilzomib","carfilzomib"
"L01XY","Combinaciones de agentes antineoplásicos","Combinations of antineoplastic agents"
"L02","TERAPIA ENDÓCRINA","ENDOCRINE THERAPY"
"L02A","HORMONAS Y AGENTES RELACIONADOS","HORMONES AND RELATED AGENTS"
"L02AA","Estrógenos","Estrogens"
"L02AA01","dietilestilbestrol","diethylstilbestrol"
"L02AA02","poliestradiol fosfato","polyestradiol phosphate"
"L02AA03","etinilestradiol","ethinylestradiol"
"L02AA04","fosfestrol","fosfestrol"
"L02AB","Progestágenos","Progestogens"
"L02AB01","megestrol","megestrol"
"L02AB02","medroxiprogesterona","medroxyprogesterone"
"L02AB03","gestonorona","gestonorone"
"L02AE","Análogos de la hormona liberadora de gonadotrofinas","Gonadotropin releasing hormone analogues"
"L02AE01","buserelina","buserelin"
"L02AE02","leuprorelina","leuprorelin"
"L02AE03","goserelina","goserelin"
"L02AE04","triptorelina","triptorelin"
"L02AE05","histrelina","histrelin"
"L02AX","Otras hormonas","Other hormones"
"L02B","ANTAGONISTAS DE HORMONAS Y AGENTES RELACIONADOS","HORMONE ANTAGONISTS AND RELATED AGENTS"
"L02BA","Antiestrógenos","Anti-estrogens"
"L02BA01","tamoxifeno","tamoxifen"
"L02BA02","toremifeno","toremifene"
"L02BA03","fulvestrant","fulvestrant"
"L02BB","Antiandrógenos","Anti-androgens"
"L02BB01","flutamida","flutamide"
"L02BB02","nilutamida","nilutamide"
"L02BB03","bicalutamida","bicalutamide"
"L02BG","Inhibidores de la aromatasa","Aromatase inhibitors"
"L02BG01","aminoglutetimida","aminoglutethimide"
"L02BG02","formestano","formestane"
"L02BG03","anastrozol","anastrozole"
"L02BG04","letrozol","letrozole"
"L02BG05","vorozol","vorozole"
"L02BG06","exemestano","exemestane"
"L02BX","Otros antagonistas de hormonas y agentes relacionados","Other hormone antagonists and related agents"
"L02BX01","abarelix","abarelix"
"L02BX02","degarelix","degarelix"
"L02BX03","abiraterona","abiraterone"
"L03","INMUNOESTIMULANTES","IMMUNOSTIMULANTS"
"L03A","INMUNOESTIMULANTES","IMMUNOSTIMULANTS"
"L03AA","Factores estimulantes de colonias","Colony stimulating factors"
"L03AA02","filgrastim","filgrastim"
"L03AA03","molgramostim","molgramostim"
"L03AA09","sargramostim","sargramostim"
"L03AA10","lenograstim","lenograstim"
"L03AA12","ancestim","ancestim"
"L03AA13","pegfilgrastim","pegfilgrastim"
"L03AA14","lipegfilgrastim","lipegfilgrastim"
"L03AB","Interferones","Interferons"
"L03AB01","interferón alfa natural","interferon alfa natural"
"L03AB02","interferón beta natural","interferon beta natural"
"L03AB03","interferón gamma","interferon gamma"
"L03AB04","interferon alfa-2a","interferon alfa-2a"
"L03AB05","interferón alfa-2b","interferon alfa-2b"
"L03AB06","interferón alfa-n1","interferon alfa-n1"
"L03AB07","interferón beta-1a","interferon beta-1a"
"L03AB08","interferón beta-1b","interferon beta-1b"
"L03AB09","interferón alfacón-1","interferon alfacon-1"
"L03AB10","peginterferón alfa-2b","peginterferon alfa-2b"
"L03AB11","peginterferón alfa-2a","peginterferon alfa-2a"
"L03AB12","albinterferón alfa-2b","albinterferon alfa-2b"
"L03AB60","peginterferón alfa-2b, combinciones","peginterferon alfa-2b, combinations"
"L03AB61","peginterferón alfa-2a, combinciones","peginterferon alfa-2a, combinations"
"L03AC","Interleukinas","Interleukins"
"L03AC01","aldesleukina","aldesleukin"
"L03AC02","oprelvekina","oprelvekin"
"L03AX","Otros inmunoestimulantes","Other immunostimulants"
"L03AX01","lentinán","lentinan"
"L03AX02","roquinimex","roquinimex"
"L03AX03","vacuna BCG","BCG vaccine"
"L03AX04","pegademasa","pegademase"
"L03AX05","pidotimod","pidotimod"
"L03AX07","poli IC","poly I:C"
"L03AX08","poli ICLC","poly ICLC"
"L03AX09","timopentina","thymopentin"
"L03AX10","inmunocianina","immunocyanin"
"L03AX11","tasonermina","tasonermin"
"L03AX12","vacuna melanoma","melanoma vaccine"
"L03AX13","glatirámero, acetato de","glatiramer acetate"
"L03AX14","histamina dihidrochlorid","histamine dihydrochloride"
"L03AX15","mifamurtida","mifamurtide"
"L03AX16","plerixafor","plerixafor"
"L03AX17","sipuleucel-T","sipuleucel-T"
"L03AX18","cridanimod","cridanimod"
"L04","INMUNOSUPRESORES","IMMUNOSUPPRESSANTS"
"L04A","INMUNOSUPRESORES","IMMUNOSUPPRESSANTS"
"L04AA","Inmunosupresores selectivos","Selective immunosuppressants"
"L04AA02","muromonab-CD3","muromonab-CD3"
"L04AA03","inmunoglobulina antilinfocitaria","antilymphocyte immunoglobulin (horse)"
"L04AA04","inmunoglobulina contra timocitos","antithymocyte immunoglobulin (rabbit)"
"L04AA06","ácido micofenólico","mycophenolic acid"
"L04AA10","sirolimus","sirolimus"
"L04AA13","leflunomida","leflunomide"
"L04AA15","alefacept","alefacept"
"L04AA18","everolimus","everolimus"
"L04AA19","gusperimus","gusperimus"
"L04AA21","efalizumab","efalizumab"
"L04AA22","abetimus","abetimus"
"L04AA23","natalizumab","natalizumab"
"L04AA24","abatacept","abatacept"
"L04AA25","eculizumab","eculizumab"
"L04AA26","belimumab","belimumab"
"L04AA27","fingolimod","fingolimod"
"L04AA28","belatacept","belatacept"
"L04AA29","tofacitinib","tofacitinib"
"L04AA31","teriflunomida","teriflunomide"
"L04AA32","apremilast","apremilast"
"L04AB","Inhibidores del factor de necrosis tumoral alfa (TNF- )","Tumor necrosis factor alpha (TNF-) inhibitors"
"L04AB01","etanercept","etanercept"
"L04AB02","infliximab","infliximab"
"L04AB03","afelimomab","afelimomab"
"L04AB04","adalimumab","adalimumab"
"L04AB05","certolizumab pegol","certolizumab pegol"
"L04AB06","golimumab","golimumab"
"L04AC","Inhibidores de la interleucina","Interleukin inhibitors"
"L04AC01","daclizumab","daclizumab"
"L04AC02","basiliximab","basiliximab"
"L04AC03","anakinra","anakinra"
"L04AC04","rilonacept","rilonacept"
"L04AC05","ustekinumab","ustekinumab"
"L04AC06","mepolizumab","mepolizumab"
"L04AC07","tocilizumab","tocilizumab"
"L04AC08","canakinumab","canakinumab"
"L04AC09","briakinumab","briakinumab"
"L04AC10","secukinumab","secukinumab"
"L04AD","Inhibidores de la calcineurina","Calcineurin inhibitors"
"L04AD01","ciclosporina","ciclosporin"
"L04AD02","tacrolimo","tacrolimus"
"L04AD03","voclosporina","voclosporin"
"L04AX","Otros inmunosupresores","Other immunosuppressants"
"L04AX01","azatioprina","azathioprine"
"L04AX02","talidomida","thalidomide"
"L04AX03","metotrexato","methotrexate"
"L04AX04","lenalidomide","lenalidomide"
"L04AX05","pirfenidona","pirfenidone"
"L04AX06","pomalidomida","pomalidomide"
"M","SISTEMA MUSCULOESQUELÉTICO","MUSCULO-SKELETAL SYSTEM"
"M01","PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS"
"M01A","PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTICOS NO ESTEROIDEOS","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
"M01AA","Butilpirazolidinas","Butylpyrazolidines"
"M01AA01","fenilbutazona","phenylbutazone"
"M01AA02","mofebutazona","mofebutazone"
"M01AA03","oxifenbutazona","oxyphenbutazone"
"M01AA05","clofezona","clofezone"
"M01AA06","kebuzona","kebuzone"
"M01AB","Derivados del ácido acético y sustancias relacionadas","Acetic acid derivatives and related substances"
"M01AB01","indometacina","indometacin"
"M01AB02","sulindaco","sulindac"
"M01AB03","tolmetina","tolmetin"
"M01AB04","zomepiraco","zomepirac"
"M01AB05","diclofenaco","diclofenac"
"M01AB06","alclofenaco","alclofenac"
"M01AB07","bumadizona","bumadizone"
"M01AB08","etodolaco","etodolac"
"M01AB09","lonazolaco","lonazolac"
"M01AB10","fentiazaco","fentiazac"
"M01AB11","acemetacina","acemetacin"
"M01AB12","difenpiramina","difenpiramide"
"M01AB13","oxametacina","oxametacin"
"M01AB14","proglumetacina","proglumetacin"
"M01AB15","ketorolaco","ketorolac"
"M01AB16","aceclofenaco","aceclofenac"
"M01AB17","bufexamaco","bufexamac"
"M01AB51","indometacina, combinaciones","indometacin, combinations"
"M01AB55","diclofenaco, combinaciones","diclofenac, combinations"
"M01AC","Oxicamos","Oxicams"
"M01AC01","piroxicam","piroxicam"
"M01AC02","tenoxicam","tenoxicam"
"M01AC04","droxicam","droxicam"
"M01AC05","lornoxicam","lornoxicam"
"M01AC06","meloxicam","meloxicam"
"M01AC56","meloxicam, combinaciones","meloxicam, combinations"
"M01AE","Derivados del ácido propiónico","Propionic acid derivatives"
"M01AE01","ibuprofeno","ibuprofen"
"M01AE02","naproxeno","naproxen"
"M01AE03","ketoprofeno","ketoprofen"
"M01AE04","fenoprofeno","fenoprofen"
"M01AE05","fenbufén","fenbufen"
"M01AE06","benoxaprofeno","benoxaprofen"
"M01AE07","suprofeno","suprofen"
"M01AE08","pirprofeno","pirprofen"
"M01AE09","flurbiprofeno","flurbiprofen"
"M01AE10","indoprofeno","indoprofen"
"M01AE11","ácido tiaprofénico","tiaprofenic acid"
"M01AE12","oxaprozina","oxaprozin"
"M01AE13","ibuproxam","ibuproxam"
"M01AE14","dexibuprofeno","dexibuprofen"
"M01AE15","flunoxaprofeno","flunoxaprofen"
"M01AE16","alminoprofeno","alminoprofen"
"M01AE17","dexketoprofeno","dexketoprofen"
"M01AE18","naproxcinod","naproxcinod"
"M01AE51","ibuprofeno, combinaciones","ibuprofen, combinations"
"M01AE52","naproxeno y esomeprazol","naproxen and esomeprazole"
"M01AE53","ketoprofeno, combinaciones","ketoprofen, combinations"
"M01AE56","naproxeno y misoprostol","naproxen and misoprostol"
"M01AG","Fenamatos","Fenamates"
"M01AG01","ácido mefenámico","mefenamic acid"
"M01AG02","ácido tolfenámico","tolfenamic acid"
"M01AG03","ácido flufenámico","flufenamic acid"
"M01AG04","ácido meclofenámico","meclofenamic acid"
"M01AH","Coxibs","Coxibs"
"M01AH01","celecoxib","celecoxib"
"M01AH02","rofecoxib","rofecoxib"
"M01AH03","valdecoxib","valdecoxib"
"M01AH04","parecoxib","parecoxib"
"M01AH05","etoricoxib","etoricoxib"
"M01AH06","lumiracoxib","lumiracoxib"
"M01AX","Otros agentes antiinflamatorios y antirreumáticos no esteroideos","Other antiinflammatory and antirheumatic agents, non-steroids"
"M01AX01","nabumetona","nabumetone"
"M01AX02","ácido niflúmico","niflumic acid"
"M01AX04","azapropazona","azapropazone"
"M01AX05","glucosamina","glucosamine"
"M01AX07","bencidamina","benzydamine"
"M01AX12","glucosaminoglicano polisulfato","glucosaminoglycan polysulfate"
"M01AX13","procuazona","proquazone"
"M01AX14","orgoteína","orgotein"
"M01AX17","nimesulida","nimesulide"
"M01AX18","feprazona","feprazone"
"M01AX21","diacereína","diacerein"
"M01AX22","morniflumato","morniflumate"
"M01AX23","tenidap","tenidap"
"M01AX24","oxaceprol","oxaceprol"
"M01AX25","condroitinsulfato","chondroitin sulfate"
"M01AX26","aguacate y aceite de semilla de soya, insaponificables","avocado and soyabean oil, unsaponifiables"
"M01AX68","feprazona, combinaciones","feprazone, combinations"
"M01B","AGENTES ANTIINFLAMATORIOS/ ANTIRREUMÁTICOS EN COMBINACIÓN","ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION"
"M01BA","Agentes antiinflamatorios/antirreumáticos en combinación con corticosteroides","Antiinflammatory/antirheumatic agents in combination with corticosteroids"
"M01BA01","fenilbutazona con corticosteroides","phenylbutazone and corticosteroids"
